Morning_Ride.tcx
Stats from Strava
Time moving,905
distance moved,5585.5
max speed,43200

Date,Time,Latitude,Longitude,Altitude
27/06/2016,06:55:58,51.41803,-0.202258,19.3
27/06/2016,06:55:59,51.41809,-0.202278,19.4
27/06/2016,06:56:00,51.41814,-0.202306,19.5
27/06/2016,06:56:01,51.418192,-0.202341,19.6
27/06/2016,06:56:02,51.418257,-0.202365,19.7
27/06/2016,06:56:03,51.418319,-0.202397,19.9
27/06/2016,06:56:04,51.418378,-0.202424,20
27/06/2016,06:56:05,51.418438,-0.202453,20.1
27/06/2016,06:56:06,51.418496,-0.202479,20.2
27/06/2016,06:56:07,51.418557,-0.20251,20.3
27/06/2016,06:56:08,51.418609,-0.202525,20.4
27/06/2016,06:56:09,51.418655,-0.202556,20.5
27/06/2016,06:56:10,51.418701,-0.202581,20.5
27/06/2016,06:56:11,51.418751,-0.2026,20.6
27/06/2016,06:56:12,51.418792,-0.202628,20.8
27/06/2016,06:56:13,51.418831,-0.202667,20.9
27/06/2016,06:56:14,51.418862,-0.202706,21
27/06/2016,06:56:15,51.418846,-0.202784,21.1
27/06/2016,06:56:16,51.418837,-0.202854,21.1
27/06/2016,06:56:17,51.418831,-0.202924,21.2
27/06/2016,06:56:18,51.418819,-0.202993,21.3
27/06/2016,06:56:19,51.418815,-0.203074,21.3
27/06/2016,06:56:20,51.418798,-0.203146,21.4
27/06/2016,06:56:21,51.418784,-0.203219,21.4
27/06/2016,06:56:22,51.418759,-0.203291,21.5
27/06/2016,06:56:23,51.41874,-0.20335,21.5
27/06/2016,06:56:24,51.418726,-0.203388,21.5
27/06/2016,06:56:25,51.418714,-0.203428,21.5
27/06/2016,06:56:27,51.418689,-0.203491,21.6
27/06/2016,06:56:28,51.418667,-0.203539,21.6
27/06/2016,06:56:29,51.418651,-0.203585,21.6
27/06/2016,06:56:30,51.418633,-0.203619,21.6
27/06/2016,06:56:31,51.418614,-0.203653,21.6
27/06/2016,06:56:32,51.418602,-0.203695,21.6
27/06/2016,06:56:33,51.418594,-0.203743,21.6
27/06/2016,06:56:34,51.418581,-0.203789,21.6
27/06/2016,06:56:36,51.418557,-0.203842,21.6
27/06/2016,06:56:38,51.418529,-0.203897,21.6
27/06/2016,06:56:40,51.418524,-0.203998,21.7
27/06/2016,06:56:41,51.418531,-0.20406,21.7
27/06/2016,06:56:42,51.418536,-0.204124,21.8
27/06/2016,06:56:44,51.418538,-0.204179,21.9
27/06/2016,06:56:46,51.418562,-0.204235,22
27/06/2016,06:56:49,51.418581,-0.204289,22.1
27/06/2016,06:56:51,51.418621,-0.204323,22.3
27/06/2016,06:56:53,51.418656,-0.20438,22.4
